,Query String,position,snippet,title,url
59,modern dance,4,,Types of Modern Dance | Different Types of Modern Dance,https://www.wearandcheer.com/types-modern-dance/
60,traditional dance,1,"Traditional Folk Dances and Classical Dances Dance is a form of art that involves the movement of your body, rhythm, and music. In many cultures, it is considered a way of expressing yourself. Also, it is performed as a form of social interaction, emotional expression, and exercise.",List of Traditional Folk Dances of India from Different States,https://www.toppr.com/guides/general-awareness/indian-culture/classical-folk-dances-of-india/
61,traditional dance,2,"Traditionally, the dance was performed for various reasons and is one of the oldest dance forms of India. Karagattam - It is an ancient folk dance of Tamil Nadu. Karagattam is performed while worshipping the goddess of rain. Dancers balance huge pots on their head and dance to the tunes of musicians.",Traditional Folk Dances of India - Regional & State Wise,https://www.culturalindia.net/indian-dance/folk-dances/index.html
62,traditional dance,3,"A folk dance is a dance  developed by people that reflect the life of the people of a certain country or region.   Not all ethnic dances are folk dances. For example, ritual dancesor dances of ritual origin are not considered to be folk dances. Ritual dances are usually called ""Religious dances"" because of their purpose. The terms ""ethnic"" and ""traditional"" are used when it is required to emphasize the cultural roots of the dance. In this sense, nearly all folk dances are ethnic ones. I…",Folk dance - Wikipedia,https://en.wikipedia.org/wiki/Folk_dance
63,traditional dance,4,,Know About the Traditional Dances of Kerala - Folk Dances,https://www.travelogyindia.com/blog/know-traditional-dances-kerala
64,traditional dance,5,"The Maypole dance, still sometimes performed in England, is a descendant of older tree-worshipping dances, the ribbons that the dancers hold as they dance around the pole symbolizing the tree’s branches. The Morris dance is a survival of early weapon dances, which were not war dances but an ancient form of religious worship.",Dance - Folk dance | Britannica,https://www.britannica.com/art/dance/Folk-dance
65,fashion,1,"Fashion is a popular aesthetic expression at a particular period and place and in a specific context, especially in clothing, footwear, lifestyle, accessories, makeup, hairstyle, and body proportions.  Whereas a trend often connotes a peculiar aesthetic expression and often lasting shorter than a season, fashion is a distinctive and industry-supported expression traditionally tied to the fashion season and collections.  Style is an expression that lasts over many seasons and i…",Fashion - Wikipedia,https://en.wikipedia.org/wiki/Fashion
66,fashion,2,"Amazon Fashion: Buy Footwear, Clothing and Fashion Accessories online for Men, Women and kids at low prices in India. Buy Shoes, Sandals, Shirts, Jeans, Tops, Belts, Bags and More Online at Amazon Fashion Store.","Amazon Fashion: Clothing, Footwear and Accessories online for …",https://www.amazon.in/b?node=6648217031
67,fashion,3," · Online Fashion Store - India's best online fashion store and lifestyle shopping destination. Buy clothing, footwear & accessories for men, women & kids from top brands online at Myntra. COD Free shipping 100% Original Products",Online Fashion Store - India's Largest Online Fashion Store - Myntra,https://www.myntra.com/online-fashion-store
68,fashion,4,"The latest fashion news, beauty coverage, celebrity style, fashion week updates, culture reviews, and videos on Vogue.com.","Fashion News and Trends: Designers, Models, Style Guides | Vogue",https://www.vogue.com/fashion
69,fashion,5,"From fashion week coverage and the best-dressed stars on the red carpet, to what's chic on the streets and trends to watch out for this season, the ELLE editors give you behind-the-scenes access ...",Top Fashion Trends 2021 - Latest Runway Style & Celebrity Red …,https://www.elle.com/fashion/
70,fashion,6,"Curated by influential editors and opinion leaders, FASHION NET is the world's number one hub for fashion. THE WORLD OF FASHION SINCE 1995 DESIGNERS. AWARDS. 7 FOR ALL MANKIND. ARMANI EXCHANGE. BURBERRY. LABELS. SHOPPING. TEES. MODELING. PHOTOGRAPHY. VINTAGE. VIDEOS. CARS & BIKES. HOW TO. ACCESSORIES. WATCHES. JEWELRY. HOTELS. …",FASHION NET | this is the world of fashion,https://www.fashion.net/
71,fashion,7,"More Manufacturers and Suppliers of Fashion Necklace Sets from Nearby cities; Wedding, Anniversary, Engagement, Party Golden Fancy Necklace Set, 1 Necklace, 1 Pair Earring ₹ 220/ Set Get Latest Price. Set Content: 1 Necklace, 1 Pair Earring. Design Type: Bead Design. Color: Golden. Plating: Gold Plated. Occasion: Party, Wedding, Anniversary, Engagement. Product Type: …","Fashion Necklace Sets in Salem, Tamil Nadu | Get Latest Price …",https://dir.indiamart.com/salem/fashion-necklace-sets.html
72,fashion,8,Get our latest offers and news straight in your inbox. Subscribe. Download our apps,Online Shopping at Max,https://www.maxfashion.in/in/en/
73,fashion,9,"Sri sai fashion siruvai, Atur-Salem, Tamil Nadu, India. 133 likes · 9 talking about this. Happy to Choose it.. Easy to get it...","Sri sai fashion siruvai - Clothing (Brand) - Atur-Salem, Tamil Nadu ...",https://www.facebook.com/Sri-sai-fashion-siruvai-100548361979010/?__xts__%5B0%5D=68.ARAsqjDaa3y10GVLAA8Obv8GP529p6aNTl2IOBRo_U6Oo1Z2LxM6FfH6FResyzW0LRSzW5HbOwWEwpLquDcDHW8HWNZzD0SN5K8jBFfQz98jwJTmGCGeCItMoGGKuI9GngfkeUTa-hB5EYxjJMQV5pS5huuE1KlzSKHjsZ_OSx1UG6CuY_UX1RYlvEQv-AYv2BarBMpln120zE31OTB9BZNn5ZulYy2Ou3FGUKi4Rpc--zguhjPOXtyCygblKjK_Qc6os4MvB9WTKw2htO2eo2hrIm0gD7nuNyHaFOEKkbpp2tymb4zM7ERCWjhk3ya-AzEEYQ9AWc0sXsSApLEf7lBgSrz_aU1CncDsNg
74,fashion,10,"Fashion Assistant Jobs in Salem, Tamil Nadu - Check out latest 1853 available Fashion Assistant Jobs openings in Salem, Tamil Nadu . get hired for Fashion Assistant Jobs. Top Jobs* Free Alerts Shine.com","Fashion Assistant Jobs in Salem, Tamil Nadu (Oct 2020) - 1853 …",https://www.shine.com/job-search/fashion-assistant-jobs-in-salem
75,cosmetics,1, · THE BEST OF COSMETICS BRANDS FOR EVERY NEED. At Myntra we bring you the best of cosmetics brands from leading beauty and personal care companies around the world. You can avail premium-quality products at affordable rates. Achieve effortless beauty with a wide array of cosmetics for men and women at our online shop.,Cosmetics - Buy Cosmetics Products & Beauty Products Online in …,https://www.myntra.com/cosmetics
76,cosmetics,2,"Cosmetics are a category of health and beauty products that are used to care for the face and body, or used to accentuate or change a person's appearance. Though cosmetics are commonly thought of as only makeup used to alter a person's appearance, cosmetics can also refer to a number of products used to care for the skin and the body, as well as those used to add fragranceto it. There are a large number of cosmetics available under these various categories, each designed for different purposes and featuring …",Cosmetics - Wikipedia,https://en.wikipedia.org/wiki/Cosmetics
77,cosmetics,3,"We have all kinds of cosmetics and several multinational brands that one might need. We also supply cosmetics needed by parlours GALAXY BRANDED| SKINCARE| read more... GALAXY. Salem Galaxy, A-1 Ground Floor, 95, Nirmal Skywin Mall, Rajaji Road, Salem -7, Salem - 636007, Dist. Salem, Tamil Nadu. Verified Supplier. Call +91-8068441053 Dial Ext 262 when connected. Contact Supplier Request a …","Beauty Cosmetics in Salem, Tamil Nadu | Beauty Cosmetics Price …",https://dir.indiamart.com/salem/beauty-cosmetics.html
78,cosmetics,4,"Buy cosmetics & beauty products online from Nykaa, the online shopping beauty store. Browse makeup, health products & more from top beauty brands. free shipping* Cash on Delivery",Buy Cosmetics Products & Beauty Products Online in India at Best …,https://www.nykaa.com/
79,hairstyles,1,"Ready for a new look? See pictures of the hottest hairstyles, haircuts and colors of 2021. You'll find the right new 'do for you.",Best Hairstyles for Women in 2021 - 100+ Trending Ideas,https://www.latest-hairstyles.com/
